Latitude,Longitude,Elevation
-52.25,-65.75,-126.7628
-52.25,-65.25,-141.87602
-51.75,-67.25,-96.84791
-51.25,-64.75,-142.89082
-50.75,-64.75,-134.16837
-50.25,-64.75,-125.29819
-49.75,-64.75,-118.633705
-46.25,-64.75,-95.16493
-48.75,-65.25,-103.088135
-52.25,-64.75,-164.90082
-51.75,-64.75,-154.99783
-50.75,-65.25,-126.17019
-50.25,-65.25,-116.96381
-49.75,-65.25,-110.67285
-51.75,-63.75,-183.13974
-51.25,-63.25,-170.01051
-50.75,-63.25,-155.03659
-50.25,-62.75,-145.90875
-49.75,-62.25,-148.90688
-41.25,-59.75,-78.98391
-40.75,-57.75,-90.07891
-39.75,-57.25,-94.1814
-39.25,-57.25,-84.47072
-41.25,-61.25,-54.910378
-38.75,-56.25,-86.80655
-38.75,-55.75,-127.30095
-38.75,-55.25,-494.77243
-38.25,-55.25,-372.07166
-37.75,-54.75,-612.78796
-37.75,-55.75,-83.320274
-37.25,-55.25,-90.149796
-38.25,-56.25,-81.464745
-40.25,-57.25,-98.02119
-39.75,-56.75,-94.76136
-48.75,-61.75,-145.54012
-49.75,-61.75,-161.07161
-39.75,-55.75,-694.8438
-45.75,-64.75,-92.61701
-42.25,-62.75,-64.918915
-49.25,-62.25,-147.58043
-51.25,-63.75,-157.68283
0.75,139.25,--
-46.25,-65.25,-86.423134
-45.75,-65.25,-88.26468
-41.75,-62.75,-51.493034
-51.75,-63.25,-198.24081
-51.75,-64.25,-169.21367
-52.75,-63.25,-312.85
-48.75,-64.75,-107.45453
-49.75,-63.25,-138.8693
-50.75,-63.75,-145.88095
-41.75,-60.75,-68.212875
-39.75,-59.75,-58.815598
-46.25,-66.25,-93.40472
-46.25,-65.75,-85.32922
-51.25,-64.25,-151.05296
-54.25,-63.25,-397.59915
-53.75,-63.75,-359.71683
-54.25,-63.75,-208.08867
-50.25,-62.25,-155.75919
-49.25,-65.75,-100.093735
-49.25,-66.25,-93.51325
-41.25,-56.75,-1188.5538
